,app_code_type,twenty_code_type,textract_conf_app_code,textract_conf_twenty_code,tesseract_conf_app_code,tesseract_conf_twenty_code,doc,RegId,RegIdConf,app_code_textract,app_code_tesseract,app_code_table_lookup,twenty_code_textract,twenty_code_tesseract,twenty_code_table_lookup,app_code_fallback,twenty_code_fallback,approval_back_up,twenty_back_up,history
42,100-match-mod-spaces,100-match-mod-spaces,,,,,CUR6470-01_0646_05092023_0001131292-C0001352185-00-bottom.tif,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,76.06593322753906,,,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,,,NA3WCMEOB00186E_0000,,,,,"['Tesseract app_code is Y0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Textract app_code is Y0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Tesseract twenty_code is NA3WCMEOBO00186E_0000', 'Textract twenty_code is NA3WCMEOB00186E_0000']"
43,100-match-mod-spaces,100-match-mod-spaces,,,,,CUR6470-01_0646_05092023_0001131292-C001352208-00-bottom.tif,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,57.612500000000004,,,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,,,NA3WCMEOB00186E_0000,,,,,"['Tesseract app_code is Y0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Textract app_code is Y0020_WCM_100186E_CINTERNAL APPROVED 07252022', 'Tesseract twenty_code is NA3WCMEOBO00186E_0000', 'Textract twenty_code is NA3WCMEOB00186E_0000']"
44,100-match-mod-spaces,100-match-mod-spaces,,,,,CUR6470-01_065_04242023_0001122067-C001086949-00-bottom.tif,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,88.94531250000001,,,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,,,NA3WCMEOB00186E_0000,,,,,"['Tesseract app_code is Y0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Textract app_code is Y0020_WCM_100186E_CINTERNALAPPROVED 07252022', 'Tesseract twenty_code is NA3WCMEOB00186E_0000', 'Textract twenty_code is NA3WCMEOB00186E_0000']"
45,100-match-mod-spaces,100-match-mod-spaces,,,,,CUR6470-01_066_04242023_0001122082-C001087494-01-bottom.tif,Y0020_WCM_91154E_C INTERNAL APPROVED 11022021 NA2PDGLTR20448E_0000,90.00397491455078,,,Y0020_WCM_91154E_C INTERNAL APPROVED 11022021,,,NA2PDGLTR20448E_0000,,,,,"['Tesseract app_code is Y0020_WCM_91154E_C INTERNAL APPROVED 11022021', 'Textract app_code is Y0020_WCM_91154E_C INTERNAL APPROVED 11022021', 'Tesseract twenty_code is NA2PDGLTR20448E_0000', 'Textract twenty_code is NA2PDGLTR20448E_0000']"
46,100-match-mod-spaces,100-match-mod-spaces,,,,,CUR6470-01_066_04242023_0001122082-C001087523-00-bottom.tif,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,95.49164581298828,,,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,,,NA3WCMEOB00186E_0000,,,,,"['Tesseract app_code is Y0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Textract app_code is Y0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Tesseract twenty_code is NA3WCMEOB00186E_0000', 'Textract twenty_code is NA3WCMEOB00186E_0000']"
47,100-match-mod-spaces,100-match-mod-spaces,,,,,CUR6470-01_066_04242023_0001122082-C001087547-01-bottom.tif,Y0020_WCM_91154E_C INTERNAL APPROVED 11022021 NA2PDGLTR20449E_0000,86.63175201416016,,,Y0020_WCM_91154E_C INTERNAL APPROVED 11022021,,,NA2PDGLTR20449E_0000,,,,,"['Tesseract app_code is Y0020_WCM_91154E_C INTERNAL APPROVED 11022021', 'Textract app_code is Y0020_WCM_91154E_C INTERNAL APPROVED 11022021', 'Tesseract twenty_code is NA2PDGLTR20449E_0000', 'Textract twenty_code is NA2PDGLTR20449E_0000']"
48,100-match-mod-spaces,fallback-1,,,,,CUR6470-01_066_04242023_0001122082-C001087562-00-bottom.tif,Y0020_WCM_108136E_C INTERNAL APPROVED 08112022 NA2WCMLTR08136E_0000,84.22697448730469,,,Y0020_WCM_108136E_C INTERNAL APPROVED 08112022,,,,,NA2WCMLTR08136E_0000,,,"['Tesseract app_code is Y0020_WCM_108136E_C INTERNAL APPROVED 08112022', 'Textract app_code is Y0020_WCM_108136E_C INTERNAL APPROVED 08112022', 'Tesseract twenty_code_fallback is Y0020__WCM__108136E C INTERNAL APPROVED 08112022', 'Textract twenty_code_fallback is Y0020_WCM_108136E_C INTERNAL APPROVED 08112022', 'Tesseract twenty_code_fallback is 5246_60014WCGA1', 'Textract twenty_code_fallback is 5246_60014WCGA1', 'Tesseract twenty_code_fallback is MLTRO08136E_0000', 'Textract twenty_code_fallback is CMLTR08136E_0000']"
49,recovery,100-match-mod-spaces,84.3,,89.96,,CUR6470-01_068_04242023_0001122104-C001088948-00-bottom.tif,Y0020_WCM_79520E_C INTERNAL APPROVED 07282021 NA2WCMEOB79520E_2022,84.85643768310547,(0020_WCM_79520E_C INTERNAL APPROVED 07282021,Y0020_WCM_79520E_C INTEMAL APPROVED 07282021,Y0020_WCM_79520E_C INTERNAL APPROVED 07282021,,,NA2WCMEOB79520E_2022,,,,,"['Tesseract app_code is Y0020_WCM_79520E_C INTEMAL APPROVED 07282021', 'Textract app_code is (0020_WCM_79520E_C INTERNAL APPROVED 07282021', 'Tesseract twenty_code is NA2WCMEOB79520E_2022', 'Textract twenty_code is NA2WCMEOB79520E_2022']"
50,100-match-mod-spaces,100-match-mod-spaces,,,,,CUR6470-01_068_04242023_0001122104-C001088998-01-bottom.tif,Y0020_WCM_91154E_C INTERNAL APPROVED 11022021 NA2PDGLTR20449E_0000,91.49569702148438,,,Y0020_WCM_91154E_C INTERNAL APPROVED 11022021,,,NA2PDGLTR20449E_0000,,,,,"['Tesseract app_code is Y0020_WCM_91154E_C INTERNAL APPROVED 11022021', 'Textract app_code is Y0020_WCM_91154E_C INTERNAL APPROVED 11022021', 'Tesseract twenty_code is NA2PDGLTR20449E_0000', 'Textract twenty_code is NA2PDGLTR20449E_0000']"
51,100-match-mod-spaces,100-match-mod-spaces,,,,,CUR6470-01_069_04242023_0001122108-C001089509-00-bottom.tif,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022 NA3WCMEOB00186E_0000,76.63333333333334,,,Y0020_WCM_100186E_C INTERNAL APPROVED 07252022,,,NA3WCMEOB00186E_0000,,,,,"['Tesseract app_code is Y0020_WCM_100186E_C INTERNAL APPROVED 07252022', 'Textract app_code is Y0020_WCM_100186E_CINTERNAL APPROVED 07252022', 'Tesseract twenty_code is NA3WCMEOB00186E_0000', 'Textract twenty_code is NA3WCMEOB00186E_0000']"
