Ricoh DCN,STATE,ZIP_CODE_4
07072023-2/CUR6470-01_3323_05302023_0001142040/C001652650.TIF,North Carolina,009
07072023-2/CUR6470-01_3323_05302023_0001142040/C001652614.TIF,N/A,282
07072023-2/CUR6470-01_3323_05302023_0001142040/C001652632.TIF,NIXIE,282
07072023-2/CUR6470-01_3323_05302023_0001142040/C001652623.TIF,NIXIE,33631337074
07072023-2/CUR6470-01_3323_05302023_0001142040/C001652605.TIF,N/A,276
07072023-2/CUR6470-01_3323_05302023_0001142040/C001652658.TIF,N/A,275
07072023-2/CUR6470-01_3323_05302023_0001142040/C001652694.TIF,NIXIE,282
07072023-2/CUR6470-01_3323_05302023_0001142040/C001652595.TIF,NIXIE,1260
07072023-2/CUR6470-01_3323_05302023_0001142040/C001652667.TIF,N/A,275
07072023-2/CUR6470-01_3323_05302023_0001142040/C001652630.TIF,NIXIE,N/A
07072023-2/CUR6470-01_3323_05302023_0001142040/C001652612.TIF,N/A,282
07072023-2/CUR6470-01_3323_05302023_0001142040/C001652603.TIF,N/A,276
07072023-2/CUR6470-01_3323_05302023_0001142040/C001652621.TIF,N/A,270
07072023-2/CUR6470-01_3323_05302023_0001142040/C001652593.TIF,NIXIE,N/A
07072023-2/CUR6470-01_3323_05302023_0001142040/C001652674.TIF,N/A,274 DE 1260
07072023-2/CUR6470-01_3323_05302023_0001142040/C001652692.TIF,NIXIE,282
07072023-2/CUR6470-01_3323_05302023_0001142040/C001652656.TIF,N/A,DE 1250
07072023-2/CUR6470-01_3323_05302023_0001142040/C001652647.TIF,N/A,282
07072023-2/CUR6470-01_3323_05302023_0001142040/C001652665.TIF,I.A,275
07072023-2/CUR6470-01_3323_05302023_0001142040/C001652634.TIF,N/A,282
07072023-2/CUR6470-01_3323_05302023_0001142040/C001652670.TIF,NIXIE,274
07072023-2/CUR6470-01_3323_05302023_0001142040/C001652652.TIF,N/A,3352123707
07072023-2/CUR6470-01_3323_05302023_0001142040/C001652616.TIF,N/A,282
